precinct,year,race,party,candidate,votes
Bradford City 3rd Ward 1st Dist,2024 General Election,UNITED STATES SENATOR,CST,MARTY SELKER,1
Bradford City 3rd Ward 1st Dist,2024 General Election,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,115
Bradford City 3rd Ward 1st Dist,2024 General Election,ATTORNEY GENERAL,REP,DAVE SUNDAY,174
Bradford City 3rd Ward 1st Dist,2024 General Election,ATTORNEY GENERAL,LIB,ROBERT COWBURN,5
Bradford City 3rd Ward 1st Dist,2024 General Election,ATTORNEY GENERAL,GRN,RICHARD L WEISS,4
Bradford City 3rd Ward 1st Dist,2024 General Election,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,4
Bradford City 3rd Ward 1st Dist,2024 General Election,ATTORNEY GENERAL,FWD,ERIC L SETTLE,0
Bradford City 3rd Ward 1st Dist,2024 General Election,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,106
Bradford City 3rd Ward 1st Dist,2024 General Election,AUDITOR GENERAL,REP,TIM DEFOOR,175
Bradford City 3rd Ward 1st Dist,2024 General Election,AUDITOR GENERAL,LIB,REECE SMITH,12
Bradford City 3rd Ward 1st Dist,2024 General Election,AUDITOR GENERAL,ASP,ERIC K ANTON,3
Bradford City 3rd Ward 1st Dist,2024 General Election,AUDITOR GENERAL,CST,BOB GOODRICH,4
Bradford City 3rd Ward 1st Dist,2024 General Election,STATE TREASURER,DEM,ERIN MCCLELLAND,112
Bradford City 3rd Ward 1st Dist,2024 General Election,STATE TREASURER,REP,STACY GARRITY,178
Bradford City 3rd Ward 1st Dist,2024 General Election,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,7
Bradford City 3rd Ward 1st Dist,2024 General Election,STATE TREASURER,CST,TROY BOWMAN,2
Bradford City 3rd Ward 1st Dist,2024 General Election,STATE TREASURER,FWD,CHRIS FOSTER,3
Bradford City 3rd Ward 1st Dist,2024,REPRESENTATIVE IN CONGRESS,DEM,ZACH WOMER,113
Bradford City 3rd Ward 1st Dist,2024,REPRESENTATIVE IN CONGRESS,REP,GLENN GT THOMPSON,186
Bradford City 3rd Ward 1st Dist,2024,SENATOR IN THE GENERAL ASSEMBLY,DEM,WILLIAM MCGILL,120
Bradford City 3rd Ward 1st Dist,2024,SENATOR IN THE GENERAL ASSEMBLY,REP,CRIS DUSH,177
Bradford City 3rd Ward 1st Dist,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY,DEM,RAJEEV PRADHAN,104
Bradford City 3rd Ward 1st Dist,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY,REP,MARTIN T CAUSER,196
Bradford City 3rd Ward 2nd Dist,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS,162
Bradford City 3rd Ward 2nd Dist,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,270
Bradford City 3rd Ward 2nd Dist,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,4
Bradford City 3rd Ward 2nd Dist,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,0
Bradford City 3rd Ward 2nd Dist,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,157
Bradford City 3rd Ward 2nd Dist,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,251
Bradford City 3rd Ward 2nd Dist,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,10
Bradford City 3rd Ward 2nd Dist,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,6
Bradford City 3rd Ward 2nd Dist,2024,UNITED STATES SENATOR,CST,MARTY SELKER,3
Bradford City 3rd Ward 2nd Dist,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,147
Bradford City 3rd Ward 2nd Dist,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,257
Bradford City 3rd Ward 2nd Dist,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,12
Bradford City 3rd Ward 2nd Dist,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,1
Bradford City 3rd Ward 2nd Dist,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,1
Bradford City 3rd Ward 2nd Dist,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,1
Bradford City 3rd Ward 2nd Dist,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,141
