precinct,year,race,party,candidate,votes
CHESTER HILL BOROUGH,2024,REPRESENTATIVE IN CONGRESS,REP,GLENN GT THOMPSON,247
CHESTER HILL BOROUGH,2024,REPRESENTATIVE IN CONGRESS,Write-In,SCATTERED,1
CHESTER HILL BOROUGH,2024,SENATOR IN THE GENERAL ASSEMBLY,REP,WAYNE LANGERHOLC JR,290
CHESTER HILL BOROUGH,2024,SENATOR IN THE GENERAL ASSEMBLY,Write-In,SCATTERED,3
CHESTER HILL BOROUGH,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 73RD DISTRICT,REP,DALLAS KEPHART,310
CHESTER HILL BOROUGH,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 73RD DISTRICT,Write-In,SCATTERED,5
CLEARFIELD BOROUGH - 1ST WARD,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS,290
CLEARFIELD BOROUGH - 1ST WARD,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,422
CLEARFIELD BOROUGH - 1ST WARD,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,7
CLEARFIELD BOROUGH - 1ST WARD,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,3
CLEARFIELD BOROUGH - 1ST WARD,2024,PRESIDENTIAL ELECTORS,Write-In,SCATTERED,2
CLEARFIELD BOROUGH - 1ST WARD,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,287
CLEARFIELD BOROUGH - 1ST WARD,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,403
CLEARFIELD BOROUGH - 1ST WARD,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,17
CLEARFIELD BOROUGH - 1ST WARD,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,4
CLEARFIELD BOROUGH - 1ST WARD,2024,UNITED STATES SENATOR,CST,MARTY SELKER,4
CLEARFIELD BOROUGH - 1ST WARD,2024,UNITED STATES SENATOR,Write-In,SCATTERED,0
CLEARFIELD BOROUGH - 1ST WARD,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,244
CLEARFIELD BOROUGH - 1ST WARD,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,440
CLEARFIELD BOROUGH - 1ST WARD,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,12
CLEARFIELD BOROUGH - 1ST WARD,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,9
CLEARFIELD BOROUGH - 1ST WARD,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,4
CLEARFIELD BOROUGH - 1ST WARD,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,0
CLEARFIELD BOROUGH - 1ST WARD,2024,ATTORNEY GENERAL,Write-In,SCATTERED,2
CLEARFIELD BOROUGH - 1ST WARD,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,245
CLEARFIELD BOROUGH - 1ST WARD,2024,AUDITOR GENERAL,REP,TIM DEFOOR,438
CLEARFIELD BOROUGH - 1ST WARD,2024,AUDITOR GENERAL,LIB,REECE SMITH,12
CLEARFIELD BOROUGH - 1ST WARD,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,2
CLEARFIELD BOROUGH - 1ST WARD,2024,AUDITOR GENERAL,CST,BOB GOODRICH,6
CLEARFIELD BOROUGH - 1ST WARD,2024,AUDITOR GENERAL,Write-In,SCATTERED,0
CLEARFIELD BOROUGH - 1ST WARD,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,254
CLEARFIELD BOROUGH - 1ST WARD,2024,STATE TREASURER,REP,STACY GARRITY,428
CLEARFIELD BOROUGH - 1ST WARD,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,11
CLEARFIELD BOROUGH - 1ST WARD,2024,STATE TREASURER,CST,TROY BOWMAN,8
CLEARFIELD BOROUGH - 1ST WARD,2024,STATE TREASURER,FWD,CHRIS FOSTER,1
CLEARFIELD BOROUGH - 1ST WARD,2024,STATE TREASURER,Write-In,SCATTERED,0
CLEARFIELD BOROUGH - 1ST WARD,2024,REPRESENTATIVE IN CONGRESS,DEM,ZACH WOMER,225
CLEARFIELD BOROUGH - 1ST WARD,2024,REPRESENTATIVE IN CONGRESS,REP,GLENN GT THOMPSON,489
CLEARFIELD BOROUGH - 1ST WARD,2024,REPRESENTATIVE IN CONGRESS,Write-In,SCATTERED,0
CLEARFIELD BOROUGH - 1ST WARD,2024,SENATOR IN THE GENERAL ASSEMBLY,REP,WAYNE LANGERHOLC JR,564
CLEARFIELD BOROUGH - 1ST WARD,2024,SENATOR IN THE GENERAL ASSEMBLY,Write-In,SCATTERED,26
