precinct,year,race,party,candidate,votes
Uniontown City 1 - 76-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,398
Uniontown City 2 - 76-02,2024,Presidential Electors,REP,Donald J Trump / JD Vance,226
Uniontown City 3 - 76-03,2024,Presidential Electors,REP,Donald J Trump / JD Vance,222
Uniontown City 4 - 76-04,2024,Presidential Electors,REP,Donald J Trump / JD Vance,104
Uniontown City 5 - 76-05,2024,Presidential Electors,REP,Donald J Trump / JD Vance,289
Uniontown City 6 - 76-06,2024,Presidential Electors,REP,Donald J Trump / JD Vance,207
Uniontown City 7 - 76-07,2024,Presidential Electors,REP,Donald J Trump / JD Vance,372
Upper Tyrone Township - 78-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,710
Vanderbilt Borough - 80-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,141
Washington Township - 82-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,1436
Wharton Township - 84-01,2024,Presidential Electors,REP,Donald J Trump / JD Vance,1278
Belle Vernon Borough - 02-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,1
Brownsville Township - 04-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,1
Brownsville Borough 1 - 06-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,1
Brownsville Borough 2 - 06-02,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,0
Brownsville Borough 3 - 06-03,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,0
Bullskin Township 1 - 08-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,10
Bullskin Township 2 - 08-02,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,4
Bullskin Township 3 - 08-03,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,2
Connellsville City 1- 10-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,3
Connellsville City 2- 10-02,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,2
Connellsville City 3- 10-03,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,0
Connellsville City 4- 10-04,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,8
Connellsville Township - 12-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,3
Dawson Borough - 14-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,0
Dunbar Township 1 - 16-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,1
Dunbar Township 2 - 16-02,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,5
Dunbar  Borough - 18-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,2
Everson Borough - 20-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,0
Fairchance Borough - 22-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,1
Fayette City Borough - 24-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,0
Franklin Township 1 - 26-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,0
Franklin Township 2 - 26-02,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,1
Georges Township 1 - 28-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,3
Georges Township 2 - 28-02,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,1
Georges Township 3 - 28-03,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,1
German Township 1 - 30-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,1
German Township 2 - 30-02,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,1
German Township 3 - 30-03,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,2
German Township 4 - 30-04,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,1
Henry Clay Township - 32-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,5
Jefferson Township - 34-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,2
Lower Tyrone Township - 36-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,3
Luzerne Township 1 - 38-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,1
Luzerne Township 2 - 38-02,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,0
Luzerne Township 3 - 38-03,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,3
Luzerne Township 4 - 38-04,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,2
Markleysburg Borough - 40-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,1
Masontown Borough - 42-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,3
Menallen Township 1 - 44-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,1
Menallen Township 2 - 44-02,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,4
Menallen Township 3 - 44-03,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,1
Newell Borough - 46-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,2
Nicholson Township - 48-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,2
North Union Township 1 - 50-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,2
North Union Township 2 - 50-02,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,4
North Union Township 3 - 50-03,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,0
North Union Township 4 - 50-04,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,3
North Union Township 5 - 50-05,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,0
Ohiopyle Borough - 52-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,0
Perry Township - 54-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,6
Perryopolis Borough - 56-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,3
Point Marion Borough - 58-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,0
Redstone Township 1 - 60-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,4
Redstone Township 2 - 60-02,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,5
Redstone Township 3 - 60-03,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,0
Redstone Township 4 - 60-04,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,1
Saltlick Township - 62-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,9
Smithfield Borough - 64-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,1
South Connellsville Borough - 66-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,2
South Union Township 1 - 68-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,8
South Union Township 2 - 68-02,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,3
South Union Township 3 - 68-03,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,2
Springfield Township 1 - 70-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,0
Springfield Township 2 - 70-02,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,2
Springhill Township - 72-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,2
Stewart Township - 74-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,0
Uniontown City 1 - 76-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,5
Uniontown City 2 - 76-02,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,2
Uniontown City 3 - 76-03,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,0
Uniontown City 4 - 76-04,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,0
Uniontown City 5 - 76-05,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,4
Uniontown City 6 - 76-06,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,3
Uniontown City 7 - 76-07,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,1
Upper Tyrone Township - 78-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,1
Vanderbilt Borough - 80-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,0
Washington Township - 82-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,7
Wharton Township - 84-01,2024,Presidential Electors,LIB,Chase Oliver / Mike ter Maat,4
Belle Vernon Borough - 02-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,3
Brownsville Township - 04-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,0
Brownsville Borough 1 - 06-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,0
Brownsville Borough 2 - 06-02,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,1
Brownsville Borough 3 - 06-03,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,0
Bullskin Township 1 - 08-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,1
Bullskin Township 2 - 08-02,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,2
Bullskin Township 3 - 08-03,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,5
Connellsville City 1- 10-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,2
Connellsville City 2- 10-02,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,3
Connellsville City 3- 10-03,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,0
Connellsville City 4- 10-04,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,1
Connellsville Township - 12-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,0
Dawson Borough - 14-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,0
Dunbar Township 1 - 16-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,1
Dunbar Township 2 - 16-02,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,2
Dunbar  Borough - 18-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,0
Everson Borough - 20-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,1
Fairchance Borough - 22-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,1
Fayette City Borough - 24-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,0
Franklin Township 1 - 26-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,0
Franklin Township 2 - 26-02,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,0
Georges Township 1 - 28-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,1
Georges Township 2 - 28-02,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,3
Georges Township 3 - 28-03,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,3
German Township 1 - 30-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,0
German Township 2 - 30-02,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,2
German Township 3 - 30-03,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,1
German Township 4 - 30-04,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,0
Henry Clay Township - 32-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,0
Jefferson Township - 34-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,1
Lower Tyrone Township - 36-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,1
Luzerne Township 1 - 38-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,1
Luzerne Township 2 - 38-02,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,0
Luzerne Township 3 - 38-03,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,0
Luzerne Township 4 - 38-04,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,1
Markleysburg Borough - 40-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,2
Masontown Borough - 42-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,2
Menallen Township 1 - 44-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,0
