precinct,year,race,party,candidate,votes
CANONSBURG 1 W 4,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,17
CANONSBURG 1 W 4,2024,STATE TREASURER,CST,TROY BOWMAN,4
CANONSBURG 1 W 4,2024,REPRESENTATIVE IN CONGRESS,Dem,CHRIS DZIADOS,509
CANONSBURG 1 W 4,2024,REPRESENTATIVE IN CONGRESS,Rep,GUY RESCHENTHALER,731
CANONSBURG 1 W 4,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 46TH DISTRICT,Dem,ALEX TAYLOR,451
CANONSBURG 1 W 4,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 46TH DISTRICT,Rep,JASON ORTITAY,671
CANONSBURG 2 W 1,2024,PRESIDENTIAL ELECTORS,Dem,KAMALA D HARRIS,289
CANONSBURG 2 W 1,2024,PRESIDENTIAL ELECTORS,Rep,DONALD J TRUMP,329
CANONSBURG 2 W 1,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,2
CANONSBURG 2 W 1,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,2
CANONSBURG 2 W 1,2024,UNITED STATES SENATOR,Dem,ROBERT P CASEY JR,285
CANONSBURG 2 W 1,2024,UNITED STATES SENATOR,Rep,DAVE MCCORMICK,312
CANONSBURG 2 W 1,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,9
CANONSBURG 2 W 1,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,8
CANONSBURG 2 W 1,2024,UNITED STATES SENATOR,CST,MARTY SELKER,5
CANONSBURG 2 W 1,2024,ATTORNEY GENERAL,Dem,EUGENE DEPASQUALE,282
CANONSBURG 2 W 1,2024,ATTORNEY GENERAL,Rep,DAVE SUNDAY,313
CANONSBURG 2 W 1,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,11
CANONSBURG 2 W 1,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,3
CANONSBURG 2 W 1,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,2
CANONSBURG 2 W 1,2024,ATTORNEY GENERAL,Write-In,Scattered,1
CANONSBURG 2 W 1,2024,AUDITOR GENERAL,Dem,MALCOLM KENYATTA,279
CANONSBURG 2 W 1,2024,AUDITOR GENERAL,Rep,TIM DEFOOR,318
CANONSBURG 2 W 1,2024,AUDITOR GENERAL,LIB,REECE SMITH,9
CANONSBURG 2 W 1,2024,AUDITOR GENERAL,CST,BOB GOODRICH,3
CANONSBURG 2 W 1,2024,STATE TREASURER,Dem,ERIN MCCLELLAND,271
CANONSBURG 2 W 1,2024,STATE TREASURER,Rep,STACY GARRITY,317
CANONSBURG 2 W 1,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,12
CANONSBURG 2 W 1,2024,STATE TREASURER,CST,TROY BOWMAN,7
CANONSBURG 2 W 1,2024,STATE TREASURER,FWD,CHRIS FOSTER,3
CANONSBURG 2 W 1,2024,STATE TREASURER,Write-In,Scattered,1
CANONSBURG 2 W 1,2024,REPRESENTATIVE IN CONGRESS,Dem,CHRIS DZIADOS,278
CANONSBURG 2 W 1,2024,REPRESENTATIVE IN CONGRESS,Rep,GUY RESCHENTHALER,325
CANONSBURG 2 W 1,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 46TH DISTRICT,Dem,ALEX TAYLOR,245
