precinct,year,race,party,candidate,votes
Arendtsville,2024,State Treasurer,LIB,NICKOLAS CIESIELSKI,3
Arendtsville,2024,State Treasurer,CST,TROY BOWMAN,7
Arendtsville,2024,State Treasurer,FWD,CHRIS FOSTER,1
Arendtsville,2024,Representative in Congress,DEM,BETH FARNHAM,148
Arendtsville,2024,Representative in Congress,REP,JOHN JOYCE,287
Arendtsville,2024,Senator in the General Assembly,DEM,CAMERON SCHROY,158
Arendtsville,2024,Senator in the General Assembly,REP,DOUG MASTRIANO,275
Arendtsville,2024,Representative in the General Assembly 193rd District,REP,TORREN ECKER,349
Bendersville,2024,Presidential Electors,DEM,HARRIS and WALZ,97
Bendersville,2024,Presidential Electors,REP,TRUMP and VANCE,197
Bendersville,2024,Presidential Electors,LIB,OLIVER and TER MAAT,1
Bendersville,2024,Presidential Electors,GNP,STEIN and WARE,3
Bendersville,2024,United States Senator,DEM,ROBERT P CASEY JR,103
Bendersville,2024,United States Senator,REP,DAVE MCCORMICK,185
Bendersville,2024,United States Senator,LIB,JOHN C THOMAS,6
Bendersville,2024,United States Senator,GNP,LEILA HAZOU,3
Bendersville,2024,United States Senator,CST,MARTY SELKER,2
Bendersville,2024,Attorney General,DEM,EUGENE DEPASQUALE,91
Bendersville,2024,Attorney General,REP,DAVE SUNDAY,204
Bendersville,2024,Attorney General,LIB,ROBERT COWBURN,4
Bendersville,2024,Attorney General,GNP,RICHARD L WEISS,1
Bendersville,2024,Auditor General,DEM,MALCOLM KENYATTA,89
Bendersville,2024,Auditor General,REP,TIM DEFOOR,197
Bendersville,2024,Auditor General,LIB,REECE SMITH,8
Bendersville,2024,Auditor General,ASP,ERIC K ANTON,1
Bendersville,2024,Auditor General,CST,BOB GOODRICH,5
Bendersville,2024,State Treasurer,DEM,ERIN MCCLELLAND,87
Bendersville,2024,State Treasurer,REP,STACY GARRITY,201
Bendersville,2024,State Treasurer,LIB,NICKOLAS CIESIELSKI,6
Bendersville,2024,State Treasurer,CST,TROY BOWMAN,2
Bendersville,2024,State Treasurer,FWD,CHRIS FOSTER,1
Bendersville,2024,Representative in Congress,DEM,BETH FARNHAM,95
Bendersville,2024,Representative in Congress,REP,JOHN JOYCE,204
Bendersville,2024,Senator in the General Assembly,DEM,CAMERON SCHROY,102
Bendersville,2024,Senator in the General Assembly,REP,DOUG MASTRIANO,197
Bendersville,2024,Representative in the General Assembly 193rd District,REP,TORREN ECKER,251
Berwick,2024,Presidential Electors,DEM,HARRIS and WALZ,425
Berwick,2024,Presidential Electors,REP,TRUMP and VANCE,1086
Berwick,2024,Presidential Electors,LIB,OLIVER and TER MAAT,7
Berwick,2024,Presidential Electors,GNP,STEIN and WARE,3
Berwick,2024,United States Senator,DEM,ROBERT P CASEY JR,416
Berwick,2024,United States Senator,REP,DAVE MCCORMICK,1039
