precinct,year,race,party,candidate,votes
PHILIPSBURG 2,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 77TH LEGISLATIVE DISTRICT,DEM,H SCOTT CONKLIN,243
PHILIPSBURG 2,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 77TH LEGISLATIVE DISTRICT,REP,MARIE LIBRIZZI,218
PHILIPSBURG 3,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS,145
PHILIPSBURG 3,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,226
PHILIPSBURG 3,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,1
PHILIPSBURG 3,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,2
PHILIPSBURG 3,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,145
PHILIPSBURG 3,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,217
PHILIPSBURG 3,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,5
PHILIPSBURG 3,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,1
PHILIPSBURG 3,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,133
PHILIPSBURG 3,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,212
PHILIPSBURG 3,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,5
PHILIPSBURG 3,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,4
PHILIPSBURG 3,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,5
PHILIPSBURG 3,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,1
PHILIPSBURG 3,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,130
PHILIPSBURG 3,2024,AUDITOR GENERAL,REP,TIM DEFOOR,210
PHILIPSBURG 3,2024,AUDITOR GENERAL,LIB,REECE SMITH,14
PHILIPSBURG 3,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,2
PHILIPSBURG 3,2024,AUDITOR GENERAL,CST,BOB GOODRICH,5
PHILIPSBURG 3,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,138
PHILIPSBURG 3,2024,STATE TREASURER,REP,STACY GARRITY,213
PHILIPSBURG 3,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,5
PHILIPSBURG 3,2024,STATE TREASURER,CST,TROY BOWMAN,6
PHILIPSBURG 3,2024,REPRESENTATIVE IN CONGRESS 15TH CONGRESSIONAL DISTRICT,DEM,ZACH WOMER,141
PHILIPSBURG 3,2024,REPRESENTATIVE IN CONGRESS 15TH CONGRESSIONAL DISTRICT,REP,GLENN GT THOMPSON,222
PHILIPSBURG 3,2024,SENATOR IN THE GENERAL ASSEMBLY 35TH SENATORIAL DISTRICT,DEM,WAYNE LANGERHOLC JR,270
PHILIPSBURG 3,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 77TH LEGISLATIVE DISTRICT,DEM,H SCOTT CONKLIN,187
PHILIPSBURG 3,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 77TH LEGISLATIVE DISTRICT,REP,MARIE LIBRIZZI,174
PORT MATILDA BOROUGH,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS,81
PORT MATILDA BOROUGH,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,213
PORT MATILDA BOROUGH,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,5
PORT MATILDA BOROUGH,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,2
PORT MATILDA BOROUGH,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,81
PORT MATILDA BOROUGH,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,206
PORT MATILDA BOROUGH,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,6
PORT MATILDA BOROUGH,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,3
PORT MATILDA BOROUGH,2024,UNITED STATES SENATOR,CST,MARTY SELKER,1
PORT MATILDA BOROUGH,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,61
PORT MATILDA BOROUGH,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,225
PORT MATILDA BOROUGH,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,7
PORT MATILDA BOROUGH,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,3
PORT MATILDA BOROUGH,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,4
PORT MATILDA BOROUGH,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,1
PORT MATILDA BOROUGH,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,73
PORT MATILDA BOROUGH,2024,AUDITOR GENERAL,REP,TIM DEFOOR,210
PORT MATILDA BOROUGH,2024,AUDITOR GENERAL,LIB,REECE SMITH,7
PORT MATILDA BOROUGH,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,0
PORT MATILDA BOROUGH,2024,AUDITOR GENERAL,CST,BOB GOODRICH,8
PORT MATILDA BOROUGH,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,77
PORT MATILDA BOROUGH,2024,STATE TREASURER,REP,STACY GARRITY,205
PORT MATILDA BOROUGH,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,7
PORT MATILDA BOROUGH,2024,STATE TREASURER,CST,TROY BOWMAN,6
PORT MATILDA BOROUGH,2024,STATE TREASURER,FWD,CHRIS FOSTER,0
PORT MATILDA BOROUGH,2024,REPRESENTATIVE IN CONGRESS 15TH CONGRESSIONAL DISTRICT,DEM,ZACH WOMER,73
PORT MATILDA BOROUGH,2024,REPRESENTATIVE IN CONGRESS 15TH CONGRESSIONAL DISTRICT,REP,GLENN GT THOMPSON,226
PORT MATILDA BOROUGH,2024,SENATOR IN THE GENERAL ASSEMBLY 35TH SENATORIAL DISTRICT,DEM,WAYNE LANGERHOLC JR,252
PORT MATILDA BOROUGH,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 77TH LEGISLATIVE DISTRICT,DEM,H SCOTT CONKLIN,114
PORT MATILDA BOROUGH,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 77TH LEGISLATIVE DISTRICT,REP,MARIE LIBRIZZI,186
SNOW SHOE BOROUGH,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS,98
SNOW SHOE BOROUGH,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,308
SNOW SHOE BOROUGH,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,3
SNOW SHOE BOROUGH,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,0
SNOW SHOE BOROUGH,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,109
SNOW SHOE BOROUGH,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,288
SNOW SHOE BOROUGH,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,8
SNOW SHOE BOROUGH,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,2
SNOW SHOE BOROUGH,2024,UNITED STATES SENATOR,CST,MARTY SELKER,1
SNOW SHOE BOROUGH,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,88
SNOW SHOE BOROUGH,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,305
SNOW SHOE BOROUGH,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,10
SNOW SHOE BOROUGH,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,2
SNOW SHOE BOROUGH,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,0
