precinct,year,race,party,candidate,votes
BUFFALO TWP 2,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 11TH LEGISLATIVE DISTRICT,JUSTIN KONCHAR,JUSTIN KONCHAR,195
BUFFALO TWP 3,2024,PRESIDENTIAL ELECTORS,REPUBLICAN,DONALD J TRUMP,910
BUFFALO TWP 3,2024,PRESIDENTIAL ELECTORS,DEMOCRATIC,KAMALA D HARRIS,488
BUFFALO TWP 3,2024,PRESIDENTIAL ELECTORS,LIBERTARIAN,CHASE OLIVER,8
BUFFALO TWP 3,2024,PRESIDENTIAL ELECTORS,GREEN,JILL STEIN,4
BUFFALO TWP 3,2024,UNITED STATES SENATOR,REPUBLICAN,DAVE MCCORMICK,880
BUFFALO TWP 3,2024,UNITED STATES SENATOR,DEMOCRATIC,ROBERT P CASEY JR,502
BUFFALO TWP 3,2024,UNITED STATES SENATOR,LIBERTARIAN,JOHN C THOMAS,19
BUFFALO TWP 3,2024,UNITED STATES SENATOR,GREEN,LEILA HAZOU,5
BUFFALO TWP 3,2024,UNITED STATES SENATOR,INDEPENDENT,MARTY SELKER,4
BUFFALO TWP 3,2024,ATTORNEY GENERAL,REPUBLICAN,DAVE SUNDAY,883
BUFFALO TWP 3,2024,ATTORNEY GENERAL,DEMOCRATIC,EUGENE DEPASQUALE,468
BUFFALO TWP 3,2024,ATTORNEY GENERAL,LIBERTARIAN,ROBERT COWBURN,25
BUFFALO TWP 3,2024,ATTORNEY GENERAL,GREEN,RICHARD L WEISS,10
BUFFALO TWP 3,2024,ATTORNEY GENERAL,INDEPENDENT,JUSTIN L MAGILL,7
BUFFALO TWP 3,2024,ATTORNEY GENERAL,CONSTITUTION,ERIC L SETTLE,2
BUFFALO TWP 3,2024,AUDITOR GENERAL,REPUBLICAN,TIM DEFOOR,892
BUFFALO TWP 3,2024,AUDITOR GENERAL,DEMOCRATIC,MALCOLM KENYATTA,441
BUFFALO TWP 3,2024,AUDITOR GENERAL,LIBERTARIAN,REECE SMITH,32
BUFFALO TWP 3,2024,AUDITOR GENERAL,GREEN,BOB GOODRICH,15
BUFFALO TWP 3,2024,AUDITOR GENERAL,INDEPENDENT,ERIC K ANTON,6
BUFFALO TWP 3,2024,STATE TREASURER,REPUBLICAN,STACY GARRITY,899
BUFFALO TWP 3,2024,STATE TREASURER,DEMOCRATIC,ERIN MCCLELLAND,440
BUFFALO TWP 3,2024,STATE TREASURER,LIBERTARIAN,NICKOLAS CIESIELSKI,35
BUFFALO TWP 3,2024,STATE TREASURER,GREEN,TROY BOWMAN,10
BUFFALO TWP 3,2024,STATE TREASURER,INDEPENDENT,CHRIS FOSTER,5
BUFFALO TWP 3,2024,REPRESENTATIVE IN CONGRESS 16TH CONGRESSIONAL DISTRICT,REPUBLICAN,MIKE KELLY,952
BUFFALO TWP 3,2024,REPRESENTATIVE IN CONGRESS 16TH CONGRESSIONAL DISTRICT,DEMOCRATIC,PRESTON NOURI,443
BUFFALO TWP 3,2024,SENATOR IN THE GENERAL ASSEMBLY 21ST SENATORIAL DISTRICT,REPUBLICAN,SCOTT E HUTCHINSON,1097
BUFFALO TWP 3,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 11TH LEGISLATIVE DISTRICT,REPUBLICAN,MARCI MUSTELLO,1021
BUFFALO TWP 3,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 11TH LEGISLATIVE DISTRICT,DEMOCRATIC,JUSTIN KONCHAR,186
BUTLER TWP 1-1,2024,PRESIDENTIAL ELECTORS,REPUBLICAN,DONALD J TRUMP,1272
BUTLER TWP 1-1,2024,PRESIDENTIAL ELECTORS,DEMOCRATIC,KAMALA D HARRIS,702
BUTLER TWP 1-1,2024,PRESIDENTIAL ELECTORS,LIBERTARIAN,CHASE OLIVER,11
BUTLER TWP 1-1,2024,PRESIDENTIAL ELECTORS,GREEN,JILL STEIN,5
BUTLER TWP 1-1,2024,UNITED STATES SENATOR,REPUBLICAN,DAVE MCCORMICK,1213
BUTLER TWP 1-1,2024,UNITED STATES SENATOR,DEMOCRATIC,ROBERT P CASEY JR,719
BUTLER TWP 1-1,2024,UNITED STATES SENATOR,LIBERTARIAN,JOHN C THOMAS,31
BUTLER TWP 1-1,2024,UNITED STATES SENATOR,GREEN,LEILA HAZOU,8
BUTLER TWP 1-1,2024,UNITED STATES SENATOR,INDEPENDENT,MARTY SELKER,7
BUTLER TWP 1-1,2024,ATTORNEY GENERAL,REPUBLICAN,DAVE SUNDAY,1227
BUTLER TWP 1-1,2024,ATTORNEY GENERAL,DEMOCRATIC,EUGENE DEPASQUALE,641
BUTLER TWP 1-1,2024,ATTORNEY GENERAL,LIBERTARIAN,ROBERT COWBURN,32
BUTLER TWP 1-1,2024,ATTORNEY GENERAL,INDEPENDENT,JUSTIN L MAGILL,19
BUTLER TWP 1-1,2024,ATTORNEY GENERAL,GREEN,RICHARD L WEISS,11
BUTLER TWP 1-1,2024,ATTORNEY GENERAL,CONSTITUTION,ERIC L SETTLE,4
BUTLER TWP 1-1,2024,AUDITOR GENERAL,TIM DEFOOR,TIM DEFOOR,1224
BUTLER TWP 1-1,2024,AUDITOR GENERAL,MALCOLM KENYATTA,MALCOLM KENYATTA,630
BUTLER TWP 1-1,2024,AUDITOR GENERAL,REECE SMITH,REECE SMITH,47
BUTLER TWP 1-1,2024,AUDITOR GENERAL,BOB GOODRICH,BOB GOODRICH,20
BUTLER TWP 1-1,2024,AUDITOR GENERAL,ERIC K ANTON,ERIC K ANTON,4
