precinct,year,race,party,candidate,votes
HOPEWELL TWP 7,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,551
HOPEWELL TWP 7,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,774
HOPEWELL TWP 7,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,23
HOPEWELL TWP 7,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,13
HOPEWELL TWP 7,2024,ATTORNEY GENERAL,CON,JUSTIN L MAGILL,7
HOPEWELL TWP 7,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,3
HOPEWELL TWP 7,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,529
HOPEWELL TWP 7,2024,AUDITOR GENERAL,REP,TIM DEFOOR,788
HOPEWELL TWP 7,2024,AUDITOR GENERAL,LIB,REECE SMITH,28
HOPEWELL TWP 7,2024,AUDITOR GENERAL,AMS,ERIC K ANTON,2
HOPEWELL TWP 7,2024,AUDITOR GENERAL,CST,BOB GOODRICH,11
HOPEWELL TWP 7,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,546
HOPEWELL TWP 7,2024,STATE TREASURER,REP,STACY GARRITY,776
HOPEWELL TWP 7,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,27
HOPEWELL TWP 7,2024,STATE TREASURER,CON,TROY BOWMAN,10
HOPEWELL TWP 7,2024,STATE TREASURER,FWD,CHRIS FOSTER,4
HOPEWELL TWP 7,2024,REPRESENTATIVE IN CONGRESS 17TH DISTRICT,DEM,CHRIS DELUZIO,595
HOPEWELL TWP 7,2024,REPRESENTATIVE IN CONGRESS 17TH DISTRICT,REP,ROB MERCURI,784
HOPEWELL TWP 7,2024,SENATOR IN THE GENERAL ASSEMBLY 47TH DISTRICT,DEM,KATE LENNEN,541
HOPEWELL TWP 7,2024,SENATOR IN THE GENERAL ASSEMBLY 47TH DISTRICT,REP,ELDER VOGEL JR,820
HOPEWELL TWP 7,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 16TH DISTRICT,DEM,ROBERT F MATZIE,625
HOPEWELL TWP 7,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 16TH DISTRICT,REP,MICHAEL J PERICH,742
HOPEWELL TWP 8,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS / TIM WALZ,254
HOPEWELL TWP 8,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP / JD VANCE,320
HOPEWELL TWP 8,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER / MIKE TER MAAT,2
HOPEWELL TWP 8,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN / RUDOLPH WARE,0
HOPEWELL TWP 8,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,267
HOPEWELL TWP 8,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,290
HOPEWELL TWP 8,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,9
HOPEWELL TWP 8,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,6
HOPEWELL TWP 8,2024,UNITED STATES SENATOR,CST,MARTY SELKER,3
HOPEWELL TWP 8,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,248
HOPEWELL TWP 8,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,302
HOPEWELL TWP 8,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,9
HOPEWELL TWP 8,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,3
HOPEWELL TWP 8,2024,ATTORNEY GENERAL,CON,JUSTIN L MAGILL,6
HOPEWELL TWP 8,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,4
HOPEWELL TWP 8,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,237
HOPEWELL TWP 8,2024,AUDITOR GENERAL,REP,TIM DEFOOR,302
HOPEWELL TWP 8,2024,AUDITOR GENERAL,LIB,REECE SMITH,18
HOPEWELL TWP 8,2024,AUDITOR GENERAL,AMS,ERIC K ANTON,3
HOPEWELL TWP 8,2024,AUDITOR GENERAL,CST,BOB GOODRICH,6
HOPEWELL TWP 8,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,229
HOPEWELL TWP 8,2024,STATE TREASURER,REP,STACY GARRITY,312
HOPEWELL TWP 8,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,12
HOPEWELL TWP 8,2024,STATE TREASURER,CON,TROY BOWMAN,8
HOPEWELL TWP 8,2024,STATE TREASURER,FWD,CHRIS FOSTER,3
HOPEWELL TWP 8,2024,REPRESENTATIVE IN CONGRESS 17TH DISTRICT,DEM,CHRIS DELUZIO,266
HOPEWELL TWP 8,2024,REPRESENTATIVE IN CONGRESS 17TH DISTRICT,REP,ROB MERCURI,307
HOPEWELL TWP 8,2024,SENATOR IN THE GENERAL ASSEMBLY 47TH DISTRICT,DEM,KATE LENNEN,253
HOPEWELL TWP 8,2024,SENATOR IN THE GENERAL ASSEMBLY 47TH DISTRICT,REP,ELDER VOGEL JR,314
HOPEWELL TWP 8,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 16TH DISTRICT,DEM,ROBERT F MATZIE,291
HOPEWELL TWP 8,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 16TH DISTRICT,REP,MICHAEL J PERICH,280
HOPEWELL TWP 9,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS / TIM WALZ,371
HOPEWELL TWP 9,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP / JD VANCE,518
HOPEWELL TWP 9,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER / MIKE TER MAAT,5
HOPEWELL TWP 9,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN / RUDOLPH WARE,1
HOPEWELL TWP 9,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,383
HOPEWELL TWP 9,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,496
HOPEWELL TWP 9,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,12
HOPEWELL TWP 9,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,4
HOPEWELL TWP 9,2024,UNITED STATES SENATOR,CST,MARTY SELKER,4
HOPEWELL TWP 9,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,371
HOPEWELL TWP 9,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,503
HOPEWELL TWP 9,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,10
HOPEWELL TWP 9,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,2
HOPEWELL TWP 9,2024,ATTORNEY GENERAL,CON,JUSTIN L MAGILL,4
HOPEWELL TWP 9,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,2
HOPEWELL TWP 9,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,353
HOPEWELL TWP 9,2024,AUDITOR GENERAL,REP,TIM DEFOOR,507
HOPEWELL TWP 9,2024,AUDITOR GENERAL,LIB,REECE SMITH,12
HOPEWELL TWP 9,2024,AUDITOR GENERAL,AMS,ERIC K ANTON,5
HOPEWELL TWP 9,2024,AUDITOR GENERAL,CST,BOB GOODRICH,10
HOPEWELL TWP 9,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,363
HOPEWELL TWP 9,2024,STATE TREASURER,REP,STACY GARRITY,504
HOPEWELL TWP 9,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,16
HOPEWELL TWP 9,2024,STATE TREASURER,CON,TROY BOWMAN,3
HOPEWELL TWP 9,2024,STATE TREASURER,FWD,CHRIS FOSTER,3
HOPEWELL TWP 9,2024,REPRESENTATIVE IN CONGRESS 17TH DISTRICT,DEM,CHRIS DELUZIO,396
HOPEWELL TWP 9,2024,REPRESENTATIVE IN CONGRESS 17TH DISTRICT,REP,ROB MERCURI,501
HOPEWELL TWP 9,2024,SENATOR IN THE GENERAL ASSEMBLY 47TH DISTRICT,DEM,KATE LENNEN,353
HOPEWELL TWP 9,2024,SENATOR IN THE GENERAL ASSEMBLY 47TH DISTRICT,REP,ELDER VOGEL JR,538
HOPEWELL TWP 9,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 16TH DISTRICT,DEM,ROBERT F MATZIE,406
HOPEWELL TWP 9,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 16TH DISTRICT,REP,MICHAEL J PERICH,484
INDEPENDENCE TWP,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS / TIM WALZ,383
INDEPENDENCE TWP,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP / JD VANCE,1037
INDEPENDENCE TWP,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER / MIKE TER MAAT,5
INDEPENDENCE TWP,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN / RUDOLPH WARE,6
INDEPENDENCE TWP,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,399
INDEPENDENCE TWP,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,984
INDEPENDENCE TWP,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,23
INDEPENDENCE TWP,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,9
INDEPENDENCE TWP,2024,UNITED STATES SENATOR,CST,MARTY SELKER,12
INDEPENDENCE TWP,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,387
INDEPENDENCE TWP,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,993
INDEPENDENCE TWP,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,22
INDEPENDENCE TWP,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,7
INDEPENDENCE TWP,2024,ATTORNEY GENERAL,CON,JUSTIN L MAGILL,12
INDEPENDENCE TWP,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,4
INDEPENDENCE TWP,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,349
INDEPENDENCE TWP,2024,AUDITOR GENERAL,REP,TIM DEFOOR,1029
INDEPENDENCE TWP,2024,AUDITOR GENERAL,LIB,REECE SMITH,29
INDEPENDENCE TWP,2024,AUDITOR GENERAL,AMS,ERIC K ANTON,4
INDEPENDENCE TWP,2024,AUDITOR GENERAL,CST,BOB GOODRICH,10
INDEPENDENCE TWP,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,358
INDEPENDENCE TWP,2024,STATE TREASURER,REP,STACY GARRITY,1016
INDEPENDENCE TWP,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,26
INDEPENDENCE TWP,2024,STATE TREASURER,CON,TROY BOWMAN,12
INDEPENDENCE TWP,2024,STATE TREASURER,FWD,CHRIS FOSTER,4
INDEPENDENCE TWP,2024,REPRESENTATIVE IN CONGRESS 17TH DISTRICT,DEM,CHRIS DELUZIO,413
INDEPENDENCE TWP,2024,REPRESENTATIVE IN CONGRESS 17TH DISTRICT,REP,ROB MERCURI,1014
INDEPENDENCE TWP,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 15TH DISTRICT,DEM,ASHLEE CAUL,359
INDEPENDENCE TWP,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 15TH DISTRICT,REP,JOSHUA D KAIL,1065
INDUSTRY BORO,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS / TIM WALZ,332
INDUSTRY BORO,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP / JD VANCE,694
INDUSTRY BORO,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER / MIKE TER MAAT,4
INDUSTRY BORO,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN / RUDOLPH WARE,5
INDUSTRY BORO,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,366
INDUSTRY BORO,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,636
INDUSTRY BORO,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,20
INDUSTRY BORO,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,2
INDUSTRY BORO,2024,UNITED STATES SENATOR,CST,MARTY SELKER,4
INDUSTRY BORO,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,363
INDUSTRY BORO,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,627
INDUSTRY BORO,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,20
INDUSTRY BORO,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,6
INDUSTRY BORO,2024,ATTORNEY GENERAL,CON,JUSTIN L MAGILL,9
INDUSTRY BORO,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,0
INDUSTRY BORO,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,346
INDUSTRY BORO,2024,AUDITOR GENERAL,REP,TIM DEFOOR,630
INDUSTRY BORO,2024,AUDITOR GENERAL,LIB,REECE SMITH,23
INDUSTRY BORO,2024,AUDITOR GENERAL,AMS,ERIC K ANTON,3
INDUSTRY BORO,2024,AUDITOR GENERAL,CST,BOB GOODRICH,16
INDUSTRY BORO,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,338
INDUSTRY BORO,2024,STATE TREASURER,REP,STACY GARRITY,647
INDUSTRY BORO,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,21
INDUSTRY BORO,2024,STATE TREASURER,CON,TROY BOWMAN,10
INDUSTRY BORO,2024,STATE TREASURER,FWD,CHRIS FOSTER,5
INDUSTRY BORO,2024,REPRESENTATIVE IN CONGRESS 17TH DISTRICT,DEM,CHRIS DELUZIO,380
INDUSTRY BORO,2024,REPRESENTATIVE IN CONGRESS 17TH DISTRICT,REP,ROB MERCURI,645
INDUSTRY BORO,2024,SENATOR IN THE GENERAL ASSEMBLY 47TH DISTRICT,DEM,KATE LENNEN,295
INDUSTRY BORO,2024,SENATOR IN THE GENERAL ASSEMBLY 47TH DISTRICT,REP,ELDER VOGEL JR,727
INDUSTRY BORO,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 15TH DISTRICT,DEM,ASHLEE CAUL,296
INDUSTRY BORO,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 15TH DISTRICT,REP,JOSHUA D KAIL,734
KOPPEL BORO,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS / TIM WALZ,133
KOPPEL BORO,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP / JD VANCE,238
KOPPEL BORO,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER / MIKE TER MAAT,1
KOPPEL BORO,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN / RUDOLPH WARE,2
KOPPEL BORO,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,136
KOPPEL BORO,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,210
KOPPEL BORO,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,9
KOPPEL BORO,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,5
KOPPEL BORO,2024,UNITED STATES SENATOR,CST,MARTY SELKER,5
KOPPEL BORO,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,135
KOPPEL BORO,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,205
KOPPEL BORO,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,8
KOPPEL BORO,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,2
KOPPEL BORO,2024,ATTORNEY GENERAL,CON,JUSTIN L MAGILL,6
KOPPEL BORO,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,6
KOPPEL BORO,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,133
KOPPEL BORO,2024,AUDITOR GENERAL,REP,TIM DEFOOR,208
KOPPEL BORO,2024,AUDITOR GENERAL,LIB,REECE SMITH,8
KOPPEL BORO,2024,AUDITOR GENERAL,AMS,ERIC K ANTON,1
KOPPEL BORO,2024,AUDITOR GENERAL,CST,BOB GOODRICH,9
KOPPEL BORO,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,123
KOPPEL BORO,2024,STATE TREASURER,REP,STACY GARRITY,217
KOPPEL BORO,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,8
