precinct,year,race,party,candidate,votes,VTDST20
Cumberland 1,2024,Auditor General,ASP,ERIC K ANTON,5,000110
Cumberland 1,2024,Auditor General,CST,BOB GOODRICH,11,000110
Cumberland 1,2024,State Treasurer,DEM,ERIN MCCLELLAND,532,000110
Cumberland 1,2024,State Treasurer,REP,STACY GARRITY,733,000110
Cumberland 1,2024,State Treasurer,LIB,NICKOLAS CIESIELSKI,25,000110
Cumberland 1,2024,State Treasurer,CST,TROY BOWMAN,14,000110
Cumberland 1,2024,State Treasurer,FWD,CHRIS FOSTER,7,000110
Cumberland 1,2024,Representative in Congress,DEM,BETH FARNHAM,585,000110
Cumberland 1,2024,Representative in Congress,REP,JOHN JOYCE,737,000110
Cumberland 1,2024,Senator in the General Assembly,DEM,CAMERON SCHROY,625,000110
Cumberland 1,2024,Senator in the General Assembly,REP,DOUG MASTRIANO,687,000110
Cumberland 1,2024,Representative in the General Assembly 91st District,REP,DAN MOUL,924,000110
Cumberland 2,2024,Presidential Electors,DEM,HARRIS and WALZ,311,000120
Cumberland 2,2024,Presidential Electors,REP,TRUMP and VANCE,658,000120
Cumberland 2,2024,Presidential Electors,LIB,OLIVER and TER MAAT,4,000120
Cumberland 2,2024,Presidential Electors,GNP,STEIN and WARE,6,000120
Cumberland 2,2024,United States Senator,DEM,ROBERT P CASEY JR,316,000120
Cumberland 2,2024,United States Senator,REP,DAVE MCCORMICK,636,000120
Cumberland 2,2024,United States Senator,LIB,JOHN C THOMAS,12,000120
Cumberland 2,2024,United States Senator,GNP,LEILA HAZOU,6,000120
Cumberland 2,2024,United States Senator,CST,MARTY SELKER,3,000120
Cumberland 2,2024,Attorney General,DEM,EUGENE DEPASQUALE,299,000120
Cumberland 2,2024,Attorney General,REP,DAVE SUNDAY,648,000120
Cumberland 2,2024,Attorney General,LIB,ROBERT COWBURN,7,000120
Cumberland 2,2024,Attorney General,GNP,RICHARD L WEISS,6,000120
Cumberland 2,2024,Attorney General,CST,JUSTIN L MAGILL,6,000120
Cumberland 2,2024,Auditor General,DEM,MALCOLM KENYATTA,270,000120
Cumberland 2,2024,Auditor General,REP,TIM DEFOOR,656,000120
Cumberland 2,2024,Auditor General,LIB,REECE SMITH,12,000120
Cumberland 2,2024,Auditor General,ASP,ERIC K ANTON,4,000120
Cumberland 2,2024,Auditor General,CST,BOB GOODRICH,14,000120
Cumberland 2,2024,State Treasurer,DEM,ERIN MCCLELLAND,272,000120
Cumberland 2,2024,State Treasurer,REP,STACY GARRITY,653,000120
Cumberland 2,2024,State Treasurer,LIB,NICKOLAS CIESIELSKI,10,000120
Cumberland 2,2024,State Treasurer,CST,TROY BOWMAN,10,000120
Cumberland 2,2024,State Treasurer,FWD,CHRIS FOSTER,2,000120
Cumberland 2,2024,Representative in Congress,DEM,BETH FARNHAM,294,000120
Cumberland 2,2024,Representative in Congress,REP,JOHN JOYCE,673,000120
Cumberland 2,2024,Senator in the General Assembly,DEM,CAMERON SCHROY,318,000120
Cumberland 2,2024,Senator in the General Assembly,REP,DOUG MASTRIANO,644,000120
Cumberland 2,2024,Representative in the General Assembly 91st District,REP,DAN MOUL,772,000120
Cumberland 3,2024,Presidential Electors,DEM,HARRIS and WALZ,552,000130
Cumberland 3,2024,Presidential Electors,REP,TRUMP and VANCE,614,000130
Cumberland 3,2024,Presidential Electors,LIB,OLIVER and TER MAAT,3,000130
Cumberland 3,2024,Presidential Electors,GNP,STEIN and WARE,5,000130
Cumberland 3,2024,United States Senator,DEM,ROBERT P CASEY JR,541,000130
Cumberland 3,2024,United States Senator,REP,DAVE MCCORMICK,605,000130
Cumberland 3,2024,United States Senator,LIB,JOHN C THOMAS,21,000130
Cumberland 3,2024,United States Senator,GNP,LEILA HAZOU,5,000130
Cumberland 3,2024,United States Senator,CST,MARTY SELKER,6,000130
Cumberland 3,2024,Attorney General,DEM,EUGENE DEPASQUALE,510,000130
Cumberland 3,2024,Attorney General,REP,DAVE SUNDAY,633,000130
Cumberland 3,2024,Attorney General,LIB,ROBERT COWBURN,17,000130
Cumberland 3,2024,Attorney General,GNP,RICHARD L WEISS,4,000130
Cumberland 3,2024,Attorney General,CST,JUSTIN L MAGILL,6,000130
Cumberland 3,2024,Attorney General,FWD,ERIC L SETTLE,2,000130
Cumberland 3,2024,Auditor General,DEM,MALCOLM KENYATTA,490,000130
Cumberland 3,2024,Auditor General,REP,TIM DEFOOR,632,000130
Cumberland 3,2024,Auditor General,LIB,REECE SMITH,26,000130
Cumberland 3,2024,Auditor General,ASP,ERIC K ANTON,1,000130
Cumberland 3,2024,Auditor General,CST,BOB GOODRICH,12,000130
Cumberland 3,2024,State Treasurer,DEM,ERIN MCCLELLAND,482,000130
Cumberland 3,2024,State Treasurer,REP,STACY GARRITY,648,000130
Cumberland 3,2024,State Treasurer,LIB,NICKOLAS CIESIELSKI,20,000130
Cumberland 3,2024,State Treasurer,CST,TROY BOWMAN,8,000130
Cumberland 3,2024,State Treasurer,FWD,CHRIS FOSTER,2,000130
Cumberland 3,2024,Representative in Congress,DEM,BETH FARNHAM,519,000130
Cumberland 3,2024,Representative in Congress,REP,JOHN JOYCE,653,000130
Cumberland 3,2024,Senator in the General Assembly,DEM,CAMERON SCHROY,557,000130
Cumberland 3,2024,Senator in the General Assembly,REP,DOUG MASTRIANO,605,000130
Cumberland 3,2024,Representative in the General Assembly 91st District,REP,DAN MOUL,842,000130
Cumberland 4,2024,Presidential Electors,DEM,HARRIS and WALZ,738,000140
Cumberland 4,2024,Presidential Electors,REP,TRUMP and VANCE,668,000140
Cumberland 4,2024,Presidential Electors,LIB,OLIVER and TER MAAT,16,000140
Cumberland 4,2024,Presidential Electors,GNP,STEIN and WARE,5,000140
Cumberland 4,2024,United States Senator,DEM,ROBERT P CASEY JR,745,000140
Cumberland 4,2024,United States Senator,REP,DAVE MCCORMICK,648,000140
Cumberland 4,2024,United States Senator,LIB,JOHN C THOMAS,21,000140
Cumberland 4,2024,United States Senator,GNP,LEILA HAZOU,9,000140
Cumberland 4,2024,United States Senator,CST,MARTY SELKER,7,000140
Cumberland 4,2024,Attorney General,DEM,EUGENE DEPASQUALE,683,000140
Cumberland 4,2024,Attorney General,REP,DAVE SUNDAY,696,000140
Cumberland 4,2024,Attorney General,LIB,ROBERT COWBURN,20,000140
Cumberland 4,2024,Attorney General,GNP,RICHARD L WEISS,13,000140
Cumberland 4,2024,Attorney General,CST,JUSTIN L MAGILL,9,000140
Cumberland 4,2024,Attorney General,FWD,ERIC L SETTLE,2,000140
Cumberland 4,2024,Auditor General,DEM,MALCOLM KENYATTA,652,000140
Cumberland 4,2024,Auditor General,REP,TIM DEFOOR,699,000140
Cumberland 4,2024,Auditor General,LIB,REECE SMITH,23,000140
Cumberland 4,2024,Auditor General,ASP,ERIC K ANTON,4,000140
Cumberland 4,2024,Auditor General,CST,BOB GOODRICH,18,000140
Cumberland 4,2024,State Treasurer,DEM,ERIN MCCLELLAND,646,000140
Cumberland 4,2024,State Treasurer,REP,STACY GARRITY,711,000140
Cumberland 4,2024,State Treasurer,LIB,NICKOLAS CIESIELSKI,19,000140
Cumberland 4,2024,State Treasurer,CST,TROY BOWMAN,8,000140
Cumberland 4,2024,State Treasurer,FWD,CHRIS FOSTER,4,000140
Cumberland 4,2024,Representative in Congress,DEM,BETH FARNHAM,688,000140
Cumberland 4,2024,Representative in Congress,REP,JOHN JOYCE,726,000140
Cumberland 4,2024,Senator in the General Assembly,DEM,CAMERON SCHROY,742,000140
Cumberland 4,2024,Senator in the General Assembly,REP,DOUG MASTRIANO,663,000140
Cumberland 4,2024,Representative in the General Assembly 91st District,REP,DAN MOUL,937,000140
East Berlin,2024,Presidential Electors,DEM,HARRIS and WALZ,262,000150
East Berlin,2024,Presidential Electors,REP,TRUMP and VANCE,612,000150
East Berlin,2024,Presidential Electors,LIB,OLIVER and TER MAAT,4,000150
East Berlin,2024,Presidential Electors,GNP,STEIN and WARE,5,000150
East Berlin,2024,United States Senator,DEM,ROBERT P CASEY JR,278,000150
East Berlin,2024,United States Senator,REP,DAVE MCCORMICK,577,000150
East Berlin,2024,United States Senator,LIB,JOHN C THOMAS,12,000150
East Berlin,2024,United States Senator,GNP,LEILA HAZOU,3,000150
East Berlin,2024,United States Senator,CST,MARTY SELKER,9,000150
East Berlin,2024,Attorney General,DEM,EUGENE DEPASQUALE,241,000150
East Berlin,2024,Attorney General,REP,DAVE SUNDAY,611,000150
East Berlin,2024,Attorney General,LIB,ROBERT COWBURN,8,000150
East Berlin,2024,Attorney General,GNP,RICHARD L WEISS,8,000150
East Berlin,2024,Attorney General,CST,JUSTIN L MAGILL,3,000150
East Berlin,2024,Attorney General,FWD,ERIC L SETTLE,3,000150
East Berlin,2024,Auditor General,DEM,MALCOLM KENYATTA,234,000150
East Berlin,2024,Auditor General,REP,TIM DEFOOR,608,000150
East Berlin,2024,Auditor General,LIB,REECE SMITH,13,000150
East Berlin,2024,Auditor General,CST,BOB GOODRICH,13,000150
East Berlin,2024,State Treasurer,DEM,ERIN MCCLELLAND,231,000150
East Berlin,2024,State Treasurer,REP,STACY GARRITY,619,000150
East Berlin,2024,State Treasurer,LIB,NICKOLAS CIESIELSKI,8,000150
East Berlin,2024,State Treasurer,CST,TROY BOWMAN,7,000150
East Berlin,2024,State Treasurer,FWD,CHRIS FOSTER,2,000150
East Berlin,2024,Representative in Congress,DEM,BETH FARNHAM,244,000150
East Berlin,2024,Representative in Congress,REP,JOHN JOYCE,624,000150
East Berlin,2024,Senator in the General Assembly,DEM,CAMERON SCHROY,277,000150
East Berlin,2024,Senator in the General Assembly,REP,DOUG MASTRIANO,592,000150
East Berlin,2024,Representative in the General Assembly 193rd District,REP,TORREN ECKER,741,000150
Fairfield,2024,Presidential Electors,DEM,HARRIS and WALZ,137,000160
Fairfield,2024,Presidential Electors,REP,TRUMP and VANCE,201,000160
Fairfield,2024,Presidential Electors,LIB,OLIVER and TER MAAT,1,000160
Fairfield,2024,Presidential Electors,GNP,STEIN and WARE,1,000160
Fairfield,2024,United States Senator,DEM,ROBERT P CASEY JR,139,000160
Fairfield,2024,United States Senator,REP,DAVE MCCORMICK,182,000160
Fairfield,2024,United States Senator,LIB,JOHN C THOMAS,7,000160
Fairfield,2024,United States Senator,GNP,LEILA HAZOU,2,000160
Fairfield,2024,United States Senator,CST,MARTY SELKER,1,000160
Fairfield,2024,Attorney General,DEM,EUGENE DEPASQUALE,126,000160
Fairfield,2024,Attorney General,REP,DAVE SUNDAY,189,000160
Fairfield,2024,Attorney General,LIB,ROBERT COWBURN,7,000160
Fairfield,2024,Attorney General,GNP,RICHARD L WEISS,1,000160
Fairfield,2024,Attorney General,CST,JUSTIN L MAGILL,2,000160
Fairfield,2024,Attorney General,FWD,ERIC L SETTLE,2,000160
Fairfield,2024,Auditor General,DEM,MALCOLM KENYATTA,116,000160
Fairfield,2024,Auditor General,REP,TIM DEFOOR,191,000160
Fairfield,2024,Auditor General,LIB,REECE SMITH,7,000160
Fairfield,2024,Auditor General,ASP,ERIC K ANTON,2,000160
Fairfield,2024,Auditor General,CST,BOB GOODRICH,5,000160
Fairfield,2024,State Treasurer,DEM,ERIN MCCLELLAND,118,000160
Fairfield,2024,State Treasurer,REP,STACY GARRITY,198,000160
Fairfield,2024,State Treasurer,LIB,NICKOLAS CIESIELSKI,7,000160
Fairfield,2024,State Treasurer,CST,TROY BOWMAN,1,000160
Fairfield,2024,State Treasurer,FWD,CHRIS FOSTER,2,000160
Fairfield,2024,Representative in Congress,DEM,BETH FARNHAM,128,000160
Fairfield,2024,Representative in Congress,REP,JOHN JOYCE,201,000160
Fairfield,2024,Senator in the General Assembly,DEM,CAMERON SCHROY,130,000160
Fairfield,2024,Senator in the General Assembly,REP,DOUG MASTRIANO,198,000160
Fairfield,2024,Representative in the General Assembly 91st District,REP,DAN MOUL,243,000160
Franklin 1,2024,Presidential Electors,DEM,HARRIS and WALZ,453,000170
Franklin 1,2024,Presidential Electors,REP,TRUMP and VANCE,1025,000170
Franklin 1,2024,Presidential Electors,LIB,OLIVER and TER MAAT,12,000170
Franklin 1,2024,Presidential Electors,GNP,STEIN and WARE,4,000170
Franklin 1,2024,United States Senator,DEM,ROBERT P CASEY JR,441,000170
Franklin 1,2024,United States Senator,REP,DAVE MCCORMICK,993,000170
Franklin 1,2024,United States Senator,LIB,JOHN C THOMAS,32,000170
Franklin 1,2024,United States Senator,GNP,LEILA HAZOU,11,000170
Franklin 1,2024,United States Senator,CST,MARTY SELKER,8,000170
Franklin 1,2024,Attorney General,DEM,EUGENE DEPASQUALE,430,000170
Franklin 1,2024,Attorney General,REP,DAVE SUNDAY,991,000170
Franklin 1,2024,Attorney General,LIB,ROBERT COWBURN,26,000170
Franklin 1,2024,Attorney General,GNP,RICHARD L WEISS,10,000170
Franklin 1,2024,Attorney General,CST,JUSTIN L MAGILL,11,000170
Franklin 1,2024,Attorney General,FWD,ERIC L SETTLE,7,000170
Franklin 1,2024,Auditor General,DEM,MALCOLM KENYATTA,396,000170
Franklin 1,2024,Auditor General,REP,TIM DEFOOR,1015,000170
Franklin 1,2024,Auditor General,LIB,REECE SMITH,34,000170
Franklin 1,2024,Auditor General,CST,BOB GOODRICH,18,000170
Franklin 1,2024,State Treasurer,DEM,ERIN MCCLELLAND,388,000170
Franklin 1,2024,State Treasurer,REP,STACY GARRITY,1026,000170
Franklin 1,2024,State Treasurer,LIB,NICKOLAS CIESIELSKI,33,000170
Franklin 1,2024,State Treasurer,CST,TROY BOWMAN,8,000170
Franklin 1,2024,State Treasurer,FWD,CHRIS FOSTER,3,000170
Franklin 1,2024,Representative in Congress,DEM,BETH FARNHAM,429,000170
Franklin 1,2024,Representative in Congress,REP,JOHN JOYCE,1048,000170
Franklin 1,2024,Senator in the General Assembly,DEM,CAMERON SCHROY,461,000170
Franklin 1,2024,Senator in the General Assembly,REP,DOUG MASTRIANO,1012,000170
Franklin 1,2024,Representative in the General Assembly 91st District,REP,DAN MOUL,1182,000170
Franklin 2,2024,Presidential Electors,DEM,HARRIS and WALZ,351,000180
Franklin 2,2024,Presidential Electors,REP,TRUMP and VANCE,976,000180
Franklin 2,2024,Presidential Electors,LIB,OLIVER and TER MAAT,10,000180
Franklin 2,2024,Presidential Electors,GNP,STEIN and WARE,8,000180
Franklin 2,2024,United States Senator,DEM,ROBERT P CASEY JR,362,000180
Franklin 2,2024,United States Senator,REP,DAVE MCCORMICK,928,000180
Franklin 2,2024,United States Senator,LIB,JOHN C THOMAS,22,000180
Franklin 2,2024,United States Senator,GNP,LEILA HAZOU,8,000180
Franklin 2,2024,United States Senator,CST,MARTY SELKER,9,000180
Franklin 2,2024,Attorney General,DEM,EUGENE DEPASQUALE,314,000180
Franklin 2,2024,Attorney General,REP,DAVE SUNDAY,962,000180
Franklin 2,2024,Attorney General,LIB,ROBERT COWBURN,20,000180
Franklin 2,2024,Attorney General,GNP,RICHARD L WEISS,8,000180
Franklin 2,2024,Attorney General,CST,JUSTIN L MAGILL,11,000180
Franklin 2,2024,Attorney General,FWD,ERIC L SETTLE,5,000180
Franklin 2,2024,Auditor General,DEM,MALCOLM KENYATTA,299,000180
Franklin 2,2024,Auditor General,REP,TIM DEFOOR,960,000180
Franklin 2,2024,Auditor General,LIB,REECE SMITH,25,000180
Franklin 2,2024,Auditor General,ASP,ERIC K ANTON,5,000180
Franklin 2,2024,Auditor General,CST,BOB GOODRICH,18,000180
Franklin 2,2024,State Treasurer,DEM,ERIN MCCLELLAND,303,000180
Franklin 2,2024,State Treasurer,REP,STACY GARRITY,963,000180
Franklin 2,2024,State Treasurer,LIB,NICKOLAS CIESIELSKI,13,000180
Franklin 2,2024,State Treasurer,CST,TROY BOWMAN,9,000180
Franklin 2,2024,State Treasurer,FWD,CHRIS FOSTER,10,000180
Franklin 2,2024,Representative in Congress,DEM,BETH FARNHAM,332,000180
Franklin 2,2024,Representative in Congress,REP,JOHN JOYCE,985,000180
Franklin 2,2024,Senator in the General Assembly,DEM,CAMERON SCHROY,348,000180
Franklin 2,2024,Senator in the General Assembly,REP,DOUG MASTRIANO,962,000180
Franklin 2,2024,Representative in the General Assembly 91st District,REP,DAN MOUL,1115,000180
Freedom,2024,Presidential Electors,DEM,HARRIS and WALZ,177,000190
Freedom,2024,Presidential Electors,REP,TRUMP and VANCE,411,000190
Freedom,2024,Presidential Electors,LIB,OLIVER and TER MAAT,4,000190
Freedom,2024,Presidential Electors,GNP,STEIN and WARE,2,000190
Freedom,2024,United States Senator,DEM,ROBERT P CASEY JR,174,000190
Freedom,2024,United States Senator,REP,DAVE MCCORMICK,405,000190
Freedom,2024,United States Senator,LIB,JOHN C THOMAS,9,000190
Freedom,2024,United States Senator,GNP,LEILA HAZOU,8,000190
Freedom,2024,United States Senator,CST,MARTY SELKER,3,000190
Freedom,2024,Attorney General,DEM,EUGENE DEPASQUALE,164,000190
Freedom,2024,Attorney General,REP,DAVE SUNDAY,408,000190
Freedom,2024,Attorney General,LIB,ROBERT COWBURN,11,000190
Freedom,2024,Attorney General,GNP,RICHARD L WEISS,5,000190
Freedom,2024,Attorney General,CST,JUSTIN L MAGILL,1,000190
Freedom,2024,Attorney General,FWD,ERIC L SETTLE,2,000190
Freedom,2024,Auditor General,DEM,MALCOLM KENYATTA,149,000190
Freedom,2024,Auditor General,REP,TIM DEFOOR,413,000190
Freedom,2024,Auditor General,LIB,REECE SMITH,12,000190
Freedom,2024,Auditor General,ASP,ERIC K ANTON,5,000190
Freedom,2024,Auditor General,CST,BOB GOODRICH,6,000190
Freedom,2024,State Treasurer,DEM,ERIN MCCLELLAND,154,000190
Freedom,2024,State Treasurer,REP,STACY GARRITY,415,000190
Freedom,2024,State Treasurer,LIB,NICKOLAS CIESIELSKI,10,000190
Freedom,2024,State Treasurer,CST,TROY BOWMAN,3,000190
Freedom,2024,State Treasurer,FWD,CHRIS FOSTER,3,000190
Freedom,2024,Representative in Congress,DEM,BETH FARNHAM,167,000190
Freedom,2024,Representative in Congress,REP,JOHN JOYCE,427,000190
Freedom,2024,Senator in the General Assembly,DEM,CAMERON SCHROY,187,000190
Freedom,2024,Senator in the General Assembly,REP,DOUG MASTRIANO,405,000190
Freedom,2024,Representative in the General Assembly 91st District,REP,DAN MOUL,478,000190
Germany,2024,Presidential Electors,DEM,HARRIS and WALZ,418,000200
Germany,2024,Presidential Electors,REP,TRUMP and VANCE,1442,000200
Germany,2024,Presidential Electors,LIB,OLIVER and TER MAAT,8,000200
Germany,2024,Presidential Electors,GNP,STEIN and WARE,2,000200
Germany,2024,United States Senator,DEM,ROBERT P CASEY JR,423,000200
Germany,2024,United States Senator,REP,DAVE MCCORMICK,1376,000200
Germany,2024,United States Senator,LIB,JOHN C THOMAS,39,000200
Germany,2024,United States Senator,GNP,LEILA HAZOU,6,000200
Germany,2024,United States Senator,CST,MARTY SELKER,7,000200
Germany,2024,Attorney General,DEM,EUGENE DEPASQUALE,398,000200
Germany,2024,Attorney General,REP,DAVE SUNDAY,1407,000200
Germany,2024,Attorney General,LIB,ROBERT COWBURN,27,000200
Germany,2024,Attorney General,GNP,RICHARD L WEISS,5,000200
Germany,2024,Attorney General,CST,JUSTIN L MAGILL,8,000200
Germany,2024,Attorney General,FWD,ERIC L SETTLE,0,000200
Germany,2024,Auditor General,DEM,MALCOLM KENYATTA,374,000200
Germany,2024,Auditor General,REP,TIM DEFOOR,1390,000200
Germany,2024,Auditor General,LIB,REECE SMITH,38,000200
Germany,2024,Auditor General,ASP,ERIC K ANTON,5,000200
Germany,2024,Auditor General,CST,BOB GOODRICH,19,000200
Germany,2024,State Treasurer,DEM,ERIN MCCLELLAND,376,000200
Germany,2024,State Treasurer,REP,STACY GARRITY,1408,000200
Germany,2024,State Treasurer,LIB,NICKOLAS CIESIELSKI,24,000200
Germany,2024,State Treasurer,CST,TROY BOWMAN,10,000200
Germany,2024,State Treasurer,FWD,CHRIS FOSTER,5,000200
Germany,2024,Representative in Congress,DEM,BETH FARNHAM,398,000200
Germany,2024,Representative in Congress,REP,JOHN JOYCE,1438,000200
Germany,2024,Senator in the General Assembly,DEM,CAMERON SCHROY,399,000200
Germany,2024,Senator in the General Assembly,REP,DOUG MASTRIANO,1425,000200
Germany,2024,Representative in the General Assembly 91st District,REP,DAN MOUL,1570,000200
Gettysburg 1,2024,Presidential Electors,DEM,HARRIS and WALZ,591,000210
Gettysburg 1,2024,Presidential Electors,REP,TRUMP and VANCE,379,000210
Gettysburg 1,2024,Presidential Electors,LIB,OLIVER and TER MAAT,4,000210
Gettysburg 1,2024,Presidential Electors,GNP,STEIN and WARE,6,000210
Gettysburg 1,2024,United States Senator,DEM,ROBERT P CASEY JR,574,000210
Gettysburg 1,2024,United States Senator,REP,DAVE MCCORMICK,358,000210
Gettysburg 1,2024,United States Senator,LIB,JOHN C THOMAS,15,000210
Gettysburg 1,2024,United States Senator,GNP,LEILA HAZOU,19,000210
Gettysburg 1,2024,United States Senator,CST,MARTY SELKER,7,000210
Gettysburg 1,2024,Attorney General,DEM,EUGENE DEPASQUALE,549,000210
Gettysburg 1,2024,Attorney General,REP,DAVE SUNDAY,368,000210
Gettysburg 1,2024,Attorney General,LIB,ROBERT COWBURN,17,000210
Gettysburg 1,2024,Attorney General,GNP,RICHARD L WEISS,19,000210
Gettysburg 1,2024,Attorney General,CST,JUSTIN L MAGILL,5,000210
Gettysburg 1,2024,Attorney General,FWD,ERIC L SETTLE,4,000210
Gettysburg 1,2024,Auditor General,DEM,MALCOLM KENYATTA,539,000210
Gettysburg 1,2024,Auditor General,REP,TIM DEFOOR,370,000210
Gettysburg 1,2024,Auditor General,LIB,REECE SMITH,20,000210
Gettysburg 1,2024,Auditor General,ASP,ERIC K ANTON,5,000210
Gettysburg 1,2024,Auditor General,CST,BOB GOODRICH,14,000210
Gettysburg 1,2024,State Treasurer,DEM,ERIN MCCLELLAND,536,000210
Gettysburg 1,2024,State Treasurer,REP,STACY GARRITY,378,000210
Gettysburg 1,2024,State Treasurer,LIB,NICKOLAS CIESIELSKI,11,000210
Gettysburg 1,2024,State Treasurer,CST,TROY BOWMAN,12,000210
Gettysburg 1,2024,State Treasurer,FWD,CHRIS FOSTER,8,000210
Gettysburg 1,2024,Representative in Congress,DEM,BETH FARNHAM,570,000210
Gettysburg 1,2024,Representative in Congress,REP,JOHN JOYCE,394,000210
Gettysburg 1,2024,Senator in the General Assembly,DEM,CAMERON SCHROY,596,000210
Gettysburg 1,2024,Senator in the General Assembly,REP,DOUG MASTRIANO,361,000210
Gettysburg 1,2024,Representative in the General Assembly 91st District,REP,DAN MOUL,562,000210
Gettysburg 2,2024,Presidential Electors,DEM,HARRIS and WALZ,950,000230
Gettysburg 2,2024,Presidential Electors,REP,TRUMP and VANCE,328,000230
Gettysburg 2,2024,Presidential Electors,LIB,OLIVER and TER MAAT,6,000230
Gettysburg 2,2024,Presidential Electors,GNP,STEIN and WARE,4,000230
Gettysburg 2,2024,United States Senator,DEM,ROBERT P CASEY JR,916,000230
Gettysburg 2,2024,United States Senator,REP,DAVE MCCORMICK,316,000230
Gettysburg 2,2024,United States Senator,LIB,JOHN C THOMAS,15,000230
Gettysburg 2,2024,United States Senator,GNP,LEILA HAZOU,19,000230
Gettysburg 2,2024,United States Senator,CST,MARTY SELKER,3,000230
Gettysburg 2,2024,Attorney General,DEM,EUGENE DEPASQUALE,886,000230
Gettysburg 2,2024,Attorney General,REP,DAVE SUNDAY,308,000230
Gettysburg 2,2024,Attorney General,LIB,ROBERT COWBURN,19,000230
Gettysburg 2,2024,Attorney General,GNP,RICHARD L WEISS,17,000230
Gettysburg 2,2024,Attorney General,CST,JUSTIN L MAGILL,4,000230
Gettysburg 2,2024,Attorney General,FWD,ERIC L SETTLE,4,000230
Gettysburg 2,2024,Auditor General,DEM,MALCOLM KENYATTA,868,000230
Gettysburg 2,2024,Auditor General,REP,TIM DEFOOR,319,000230
Gettysburg 2,2024,Auditor General,LIB,REECE SMITH,22,000230
Gettysburg 2,2024,Auditor General,ASP,ERIC K ANTON,5,000230
Gettysburg 2,2024,Auditor General,CST,BOB GOODRICH,8,000230
Gettysburg 2,2024,State Treasurer,DEM,ERIN MCCLELLAND,864,000230
Gettysburg 2,2024,State Treasurer,REP,STACY GARRITY,313,000230
Gettysburg 2,2024,State Treasurer,LIB,NICKOLAS CIESIELSKI,26,000230
Gettysburg 2,2024,State Treasurer,CST,TROY BOWMAN,6,000230
Gettysburg 2,2024,State Treasurer,FWD,CHRIS FOSTER,7,000230
Gettysburg 2,2024,Representative in Congress,DEM,BETH FARNHAM,917,000230
Gettysburg 2,2024,Representative in Congress,REP,JOHN JOYCE,323,000230
Gettysburg 2,2024,Senator in the General Assembly,DEM,CAMERON SCHROY,918,000230
Gettysburg 2,2024,Senator in the General Assembly,REP,DOUG MASTRIANO,310,000230
Gettysburg 2,2024,Representative in the General Assembly 91st District,REP,DAN MOUL,596,000230
Gettysburg 3,2024,Presidential Electors,DEM,HARRIS and WALZ,504,000240
Gettysburg 3,2024,Presidential Electors,REP,TRUMP and VANCE,374,000240
Gettysburg 3,2024,Presidential Electors,LIB,OLIVER and TER MAAT,3,000240
Gettysburg 3,2024,Presidential Electors,GNP,STEIN and WARE,6,000240
Gettysburg 3,2024,United States Senator,DEM,ROBERT P CASEY JR,493,000240
Gettysburg 3,2024,United States Senator,REP,DAVE MCCORMICK,361,000240
Gettysburg 3,2024,United States Senator,LIB,JOHN C THOMAS,17,000240
Gettysburg 3,2024,United States Senator,GNP,LEILA HAZOU,10,000240
Gettysburg 3,2024,United States Senator,CST,MARTY SELKER,6,000240
Gettysburg 3,2024,Attorney General,DEM,EUGENE DEPASQUALE,469,000240
Gettysburg 3,2024,Attorney General,REP,DAVE SUNDAY,385,000240
Gettysburg 3,2024,Attorney General,LIB,ROBERT COWBURN,12,000240
Gettysburg 3,2024,Attorney General,GNP,RICHARD L WEISS,5,000240
Gettysburg 3,2024,Attorney General,CST,JUSTIN L MAGILL,6,000240
Gettysburg 3,2024,Attorney General,FWD,ERIC L SETTLE,4,000240
Gettysburg 3,2024,Auditor General,DEM,MALCOLM KENYATTA,463,000240
Gettysburg 3,2024,Auditor General,REP,TIM DEFOOR,385,000240
Gettysburg 3,2024,Auditor General,LIB,REECE SMITH,15,000240
Gettysburg 3,2024,Auditor General,ASP,ERIC K ANTON,4,000240
Gettysburg 3,2024,Auditor General,CST,BOB GOODRICH,13,000240
Gettysburg 3,2024,State Treasurer,DEM,ERIN MCCLELLAND,458,000240
Gettysburg 3,2024,State Treasurer,REP,STACY GARRITY,391,000240
Gettysburg 3,2024,State Treasurer,LIB,NICKOLAS CIESIELSKI,16,000240
Gettysburg 3,2024,State Treasurer,CST,TROY BOWMAN,7,000240
Gettysburg 3,2024,State Treasurer,FWD,CHRIS FOSTER,4,000240
Gettysburg 3,2024,Representative in Congress,DEM,BETH FARNHAM,484,000240
Gettysburg 3,2024,Representative in Congress,REP,JOHN JOYCE,399,000240
Gettysburg 3,2024,Senator in the General Assembly,DEM,CAMERON SCHROY,500,000240
Gettysburg 3,2024,Senator in the General Assembly,REP,DOUG MASTRIANO,380,000240
Gettysburg 3,2024,Representative in the General Assembly 91st District,REP,DAN MOUL,556,000240
Hamilton,2024,Presidential Electors,DEM,HARRIS and WALZ,382,000260
Hamilton,2024,Presidential Electors,REP,TRUMP and VANCE,1199,000260
Hamilton,2024,Presidential Electors,LIB,OLIVER and TER MAAT,7,000260
Hamilton,2024,Presidential Electors,GNP,STEIN and WARE,1,000260
Hamilton,2024,United States Senator,DEM,ROBERT P CASEY JR,391,000260
Hamilton,2024,United States Senator,REP,DAVE MCCORMICK,1150,000260
Hamilton,2024,United States Senator,LIB,JOHN C THOMAS,24,000260
